book_id,book_listing,book_author,book_title,book_publisher,book_place,book_year,book_edition,book_size,book_condition,book_notes,book_directory
1374,Modern Masters of Etching #21:  Malcolm Osborne,"Salaman, Malcolm",Modern Masters of Etching #21:  Malcolm Osborne,The Studio,"London, England",1929,,,,,
1375,Modern Masters of Etching #17:  E. S. Lumsden,"Salaman, Malcolm",Modern Masters of Etching #17:  E. S. Lumsden,The Studo,"London, England",,,,,,
1376,(Masters) of Modern Etchng #20:  Rembrandt,"Salaman, Malcolm",Masters of Modern Etchng #20:  Rembrandt,The Studio,"London, England",1929,,,,,
1377,Modern Masters of Etching #25  Robert Austin,"Salaman, Malcolm",Modern Masters of Etching #25  Robert Austin,The Studio,"London, England",1930,,,,,
1378,The Indigo Bunting,"Sheehan, V.",The Indigo Bunting,Harper & Brothers,"New York, NY",1951,,,,,
1379,"Paris 1900, The Art of the Poster","Schardt, Hermann","Paris 1900, The Art of the Poster",Portland House,"New York, NY",1967,,,,,
1380,The Britannica Encyclopedia of American Art,None,The Britannica Encyclopedia of American Art,Simon & Schuster,"New York, NY",1973,,,,,
1381,Setting the Tone,"Rorem, Ned","Setting the Tone, Essays and a Diary",Limelight,"New York,",1983,,,,,
1382,Max Pincus (memorial volume),None,Max Pincus (memorial volume),,,1934,,,,,
1383,Setting the Tone,"Rorem, Ned","Setting the Tone, Essays and a Diary",Limelight,"New York,",1983,,,,,
1384,David Hockney:  Martha's Vineyard and other places,None,David Hockney:  Martha's Vineyard and other places,"Harry N. Abrams, Inc.","New York, NY",1985,,,,,
1385,Kelpra Studio. Artists' Prints 1961-1980.,None,Kelpra Studio. Artists' Prints 1961-1980.,Tate,"London, England",1980,,,,'The Rose and Chris Prater Gift'. Catalogue of the exhibition,
1386,James McNeill Whistler,"Sweet, Frederick A.",James McNeill Whistler,Art Institute of Chicago,"Chicago, IL",1968,,,,,
1387,Zorach Explain Sculpture,"Zorach, William",Zorach Explain Sculpture:  What it Means and How it is Made,American Artists Group,"New York, NY",1947,,,,,
1388,"Honore Daumier:  Das Lithographische Werk, Vols 1 & 2",None,"Honore Daumier:  Das Lithographische Werk, Vols 1 & 2",Pawlak,Herrsching,1985,,,,,
1389,Prints for the Collector,"Hughes, Therle",Prints for the Collector:  British Prints from 1500 to 1900.,Praeger,"New York, NY",1971,,,,,
1390,The Calligrapher's Handbook,"Lamb, C. M.",The Calligrapher's Handbook,Fraber & Farber,"London, England",1969,,,,,
1391,"Prints and Books, Informal Papers","Ivins, William M., Jr.","Prints and Books, Informal Papers",Harvard University Press,"Cambridge, MA",1926,,,,,
1393,The Conservation of Antiquities and Works of Art,"Plenderleith, H. J. & Wener, A. E. A.",The Conservation of Antiquities and Works of Art,Oxford University Press,"London, England",1971,,,,,
1394,"Venezia, Lithografie Originali","Carbonati, Antonio","Venezia, Lithografie Originali",,"Firenze, IT",,,,,,
1395,Vitraux pour Jerasalem,"Chagall, Marc",Vitraux pour Jerasalem,Musee des Arts Decoratif,"Paris, FR",1961,,,,,
1396,Little Journeys to the Home of Eminent Artists:  Whistler,"Hubbard, Elbert",Little Journeys to the Home of Eminent Artists:  Whistler,Roycroft,"New York, NY",1902,,,,,
1397,"Arrows:  Selected Poetry, 1957-1992","Meltzer, David","Arrows:  Selected Poetry, 1957-1992",Black Sparrow Press,"Santa Rosa, CA",1994,,,,,
1399,The Atlantic Monthly,None,The Atlantic Monthly,Atlantic Monthly,"Boston, MA","June, 1914","Volume 113, No. 6",,,,
1400,Chagall Lithographs VI:  1980-1985,"Passeron, Roger & Sorlier, Charles",Chagall Lithographs VI:  1980-1985,Crown Publishers,"New York, NY",1986,,,,,
1401,"Marc Chagall:  Catalogue Raisonne de l'oevre grave, Vol 1","Kornfeld, Eberhard W.","Marc Chagall:  Catalogue Raisonne de l'oevre grave, Vol 1",Editions Kornfeld & Klipstein,"Berne, Switzerland",1971,"Vol 1, 1922-1966",,,,
1402,The Biblical Message:  Marc Chagall,"Chatelain, Jean, preface",The Biblical Message:  Marc Chagall,Tudor Publishing Co,"New York, NY",1973,,,,,
1403,Marc Chagall: The Jerusalem Windows,"Leymarie, Jean",Marc Chagall: The Jerusalem Windows,Park Lane,"New York, NY",1988,,,,,
1404,Chagall Lithographs IV:  1969-1973,"Sorlier, Charles & Mourot, Fernand",Chagall Lithographs IV:  1969-1973,Crown Publishers,"New York, NY",1974,,,,,
1405,"Johnny Friedlaender:  Oeuvre, 1961-1965",None,"Johnny Friedlaender:  Oeuvre, 1961-1965",Touchston Publishers Ltd,,,,,,,
1406,"The Artist and the Book, 1860-1960 in Western Europe and the United States.",None,"The Artist and the Book, 1860-1960 in Western Europe and the United States.",Museum of Fine Arts,"Boston, MA",1961,,,,,
1407,Art Nouveau,"Schmutzler, Robert",Art Nouveau,Harry N. Abrams,"New York, NY",1962,,,,,
1409,Zao Wou-Ki,"Abadie, Daniel",Zao Wou-Ki,Ediciones Poligrafa,"Barcelona, SP",1989,,,,,
1408,Otto Pankok,"Zimmermann, Rainer","Otto Pankok: Das Werk Des Malers, Holzschneiders und Bildhauers.",Rembrandt Verlag,"Berlin, Germany",1964,,,,,
1410,Lithographic Prints from Stone and Plate,"Banister, Manly",Lithographic Prints from Stone and Plate,"Littlefield, Adams and Co.","Totowa,  NJ",1974,,,,,
1411,Chagall at the,"Genauer, Emily","Chagall at the ""Met""",Tudor Publishing Co,"New York, NY",,,,,,
1412,A Guide to the Collecting and Care of Original Prints,"Zigrosser, Carl and Gaehde, Christa M.",A Guide to the Collecting and Care of Original Prints,"Crown Publishsers, Inc.","New York, NY",1973,,,,,
1413,Lithographic Prints from Stone and Plate,"Banister, Manly",Lithographic Prints from Stone and Plate,"Littlefield, Adams and Co.","Totowa,  NJ",1974,,,,,
1414,"Raffet, Son Oeuvre Lithographique et Ses Eaux-Fortes, Suivi De La Bibliographie Compl?te Des Ouvrages Illustr?s De Vignettes D'a","Giacommeli, H","Raffet, Son Oeuvre Lithographique et Ses Eaux-Fortes, Suivi De La Bibliographie Compl?te Des Ouvrages Illustr?s De Vignettes D'a",Bureau de la Gazette des Beaux-Arts,"Paris, FR",1874,,,,,
1415,Images from the Floating World: The Japanese Print,"Lane, Richard",Images from the Floating World: The Japanese Print,G. P. Putnam's Sons,"New York, NY",1978,,,,,
1416,Great Images of British Printmaking : A Descriptive Catalogue 1789- 1939,"Lister, Raymond",Great Images of British Printmaking : A Descriptive Catalogue 1789- 1939,Robin Garton,"London, England",1978,,,,Signed by Author,
1417,Victims of Circumstance,"Smith, Nelson",Victims of Circumstance,Graphikos,"Detroit, MI,",1987,,,,,
1418,Utagawa Kuniyoshi: An Exhibition of The Work of Utagawa Kuniyoshi (1797-1861),"Henning, Robert Jr. Exhibit Coordinator",Utagawa Kuniyoshi: An Exhibition of The Work of Utagawa Kuniyoshi (1797-1861) based on the Raymond A. Bidwell Collection of Japa,Springfield Museum of Fine Arts,"Springfield, MA",1980,,,,,
1419,Sammlung Emil G. Buhrle,Kunsthaus Z?rich,Sammlung Emil G. Buhrle,,,1958,,,,,
1420,Important Japanese Color Prints,"Theran, Susan",Important Japanese Color Prints,Parke-Bernet Galleries Inc.,"New York, NY",1971,,,,,
1421,Japanese Painters of the Floating World.,"Young, Martie W.and Robert J. Smith, Commentary and Notes by",Japanese Painters of the Floating World,Andrew Dickson White Museum of Art,"Ithaca, NY",1966,,,,,
1422,Our Lady of the Flowers,"Genet, Jean",Our Lady of the Flowers,Grove Press,"New York, NY",1963,,,,,
1423,Nico:  The life and lies of an icon,"Witts, R.",Nico:  The life and lies of an icon,Virgin,"London, England",1993,,,,,
1424,Das Deutsche Lichtbild. Jahresschau 1935.,None,Das Deutsche Lichtbild. Jahresschau 1935.,Bruno Schultz Verlag,"Berlin, Germany",1935,,,,,
1425,Through Closed Doors: Western Influence on Japanese Art 1639 - 1853,"French, Cal",Through Closed Doors: Western Influence on Japanese Art 1639 - 1853,Meadow Brook Art Gallery,"Rochester, MI",1978,,,,,
1426,Flowers: Gary Bukovnik Watercolors and Monotypes,"Gordon, Judith",Flowers: Gary Bukovnik Watercolors and Monotypes,"Harry N. Abrams, Inc.","New York, NY",1990,,,,Signed; inscribed to the Kleins,
1427,Little journeys to the homes of eminent artists,"Hubbard, Elbert",Little journeys to the homes of eminent artists,Roycrofters,East Aurora,1902,,,,,
1428,Technics and Creativity: Gemini Gel.,"Johns, Jasper",Technics and Creativity: Gemini Gel.,Museum of Modern Art,"New York, NY",1970,,,,Unopened,
1429,Paul Cezanne Sketch Book,Art Institue of Chicago,Paul Cezanne Sketch Book,Curt Valentin,"Chicago, IL",1941,,,,ed. 1500,
1430,Villa Grisebach Auktionen Nr. 67,None,Villa Grisebach Auktionen Nr. 67,Ausgewahlte Werke,"Berlin, Germany","November 27, 199",,,,"""Selected Works"" with English Translation",
1431,Hedley Fitton's Etchings,"Dunthorne , Robert",Hedley Fitton's Etchings,Rembrandt Gallery,"London, England",1911,,,,,
1432,Hundertwasser  (Friedereich),"Hofmann, Werner",Hundertwasser  (Friedereich),Verlag Galerie Welz Salzburg,"Salzberg, Austria",1965,,,,,
1434,Inland Printer,None,Inland Printer,The Inland Printer Company,"Chicago, IL","October, 1896",,,,"Ault & Wiborg color ad (after p. 16) by Will BradleyCover:  T. B. Hapgood, Jr.",
1435,Les peintres graveurs francais Quatre Vingtieme Anniversaire.,None,Les peintres graveurs francais Quatre Vingtieme Anniversaire.,,,1969,,,,,
1436,Deutsche Kunst Und Dekoration,None,Deutsche Kunst Und Dekoration,,"Darmstadt, Germany","September, 1912",,,,,
1437,"Poster Prices IV: Prices Realized and Index to Over 11,500 Rare Posters Sold at Auction 1985-1997",None,"Poster Prices IV: Prices Realized and Index to Over 11,500 Rare Posters Sold at Auction 1985-1997",Poster Auctions International,"New York, NY",1998,,,,,
1438,More Drawings by Heinrich Kley,None,More Drawings by Heinrich Kley,Dover,"New York, NY",1962,,,,,
1439,Gerald K. Geerlings,"Czestochowski, Joseph S.",Gerald K. Geerlings,Cedar Rapids Art Association,"Cedar Rapids, IO",1984,,,,,
1440,"Lyonel Feininger: Etchings, Lithographs, and Woodcuts from the Estate of The Artist.",None,"Lyonel Feininger: Etchings, Lithographs, and Woodcuts from the Estate of The Artist.",Associated American Artists,"New York, NY",1972,,,,,
1441,"Lyonel Feininger,Rare Woodcuts from the Estate of the Artist,March 1-27,1982",None,"Lyonel Feininger,Rare Woodcuts from the Estate of the Artist,March 1-27,1982",Associated American Artists,"New York, NY",1977,,,,,
1442,Lyonel Feininger: Ships and Seas,None,Lyonel Feininger: Ships and Seas,Associated American Artists,"New York, NY",1964,,,,,
1443,"Lyonel Feininger,Rare Woodcuts from the Estate of the Artist, March 1-27,1982",None,"Lyonel Feininger,Rare Woodcuts from the Estate of the Artist, March 1-27,1982",Associated American Artists,"New York, NY",$20.00,,,,,
1444,Paul Gauguin 1848-1903 An Exhibition of Original Lithographs and Woodcuts,None,Paul Gauguin 1848-1903 An Exhibition of Original Lithographs and Woodcuts,William Weston Gallery,"London, England",1982,,,,,
1445,Sorel Etrog : Paintings Pastels Drawings,None,Sorel Etrog : Paintings Pastels Drawings,Dunkelman,Toronto,1971,,,,,
1446,m. c. escher. Overzichtstentoonstelling in Het Haags Gemeentemuseum ter ere van zijn 70ste Verjaardag 8. Juni - 21. Juli 1968. (,None,m. c. escher. Overzichtstentoonstelling in Het Haags Gemeentemuseum ter ere van zijn 70ste Verjaardag 8. Juni - 21. Juli 1968. (,,,1968,,,,,
1447,"Catalogue of an Exhibition of the Art of Lithography, Commemorating the Sesquicentennial of its Invention, 1798-1948.",None,"Catalogue of an Exhibition of the Art of Lithography, Commemorating the Sesquicentennial of its Invention, 1798-1948.",Cleveland Museum of Art,Cleveland,1948,,,,,
1448,"Max Ernst - Druckgrafik - Ausstellung der Albrecht D?rer Gesellschaft im Germanischen Nationalmuseum N?rnberg 3.2.- 31.3.1974,",None,"Max Ernst - Druckgrafik - Ausstellung der Albrecht D?rer Gesellschaft im Germanischen Nationalmuseum N?rnberg 3.2.- 31.3.1974,",,"Nuremberg, Germany",1974,Catalog 26,,,,
1449,English And French Engravings In Color: The Important Collection Of The Late Eli B. Springs,None,English And French Engravings In Color: The Important Collection Of The Late Eli B. Springs,American Art Assoc,"New York, NY",1934,,,,,
1450,Dokumentation Kunst und Literatur des 19. + 20. Jahrhunderts.,None,Dokumentation Kunst und Literatur des 19. + 20. Jahrhunderts. Katalog 9.,Hans Bolliger,Z?rich,1983,Katalog 9.,,,,
1451,Old Master Prints 1490-1864; Modern Master Prints 1878-1962,"Bella, Carlo & Schwartz, Alexandra",Old Master Prints 1490-1864; Modern Master Prints 1878-1962,Pace Prints,New York,,,,,,
